system,workload,file_name,file_path,repeat,n_samples,n_features,target_name,MAPE,MAE,RMSE
batlik,corona,corona.csv,datasets\batlik\corona.csv,1,1919,11,time,12.80201897348173,0.18633927930786312,0.2571259744991773
batlik,corona,corona.csv,datasets\batlik\corona.csv,2,1919,11,time,11.781645168768245,0.18016414125251382,0.2625806243222595
batlik,corona,corona.csv,datasets\batlik\corona.csv,3,1919,11,time,13.248621070635982,0.19166671430287427,0.26282310879969567
batlik,corona,corona.csv,datasets\batlik\corona.csv,4,1919,11,time,12.390431555127268,0.1864606712415229,0.27112110097053793
batlik,corona,corona.csv,datasets\batlik\corona.csv,5,1919,11,time,12.026663044820543,0.1747892299963503,0.24732102390658323
batlik,corona,corona.csv,datasets\batlik\corona.csv,6,1919,11,time,12.50089345885416,0.1819897600253973,0.25666154615492487
batlik,corona,corona.csv,datasets\batlik\corona.csv,7,1919,11,time,12.058193605765464,0.18005592131271947,0.2614744031991101
batlik,corona,corona.csv,datasets\batlik\corona.csv,8,1919,11,time,12.68269288777173,0.18721951835911987,0.26715324584646105
batlik,corona,corona.csv,datasets\batlik\corona.csv,9,1919,11,time,12.189988933911295,0.1786846266726166,0.2531747136707062
batlik,corona,corona.csv,datasets\batlik\corona.csv,10,1919,11,time,12.467326913549275,0.17944920135251824,0.24986022148129014
batlik,corona,corona.csv,datasets\batlik\corona.csv,11,1919,11,time,11.66914536156432,0.17751143862767843,0.261484019503625
batlik,corona,corona.csv,datasets\batlik\corona.csv,12,1919,11,time,12.44204468117171,0.18070446322483832,0.2556806142855194
batlik,corona,corona.csv,datasets\batlik\corona.csv,13,1919,11,time,12.496758967896634,0.18602081150207672,0.26581496676975913
batlik,corona,corona.csv,datasets\batlik\corona.csv,14,1919,11,time,11.829003626968364,0.17919621712130648,0.2612868276120656
batlik,corona,corona.csv,datasets\batlik\corona.csv,15,1919,11,time,11.625421946196678,0.17528613687070527,0.26316055154510376
batlik,corona,corona.csv,datasets\batlik\corona.csv,16,1919,11,time,12.838696735589561,0.18992828236692924,0.2675746514928729
batlik,corona,corona.csv,datasets\batlik\corona.csv,17,1919,11,time,12.325130549682045,0.1850231008999933,0.2693249743958722
batlik,corona,corona.csv,datasets\batlik\corona.csv,18,1919,11,time,12.116088175846738,0.18249368920038306,0.2647331098865476
batlik,corona,corona.csv,datasets\batlik\corona.csv,19,1919,11,time,12.26732822398362,0.1794229608411728,0.25441990614165655
