system,workload,baseline_MAPE_mean,baseline_MAPE_std,baseline_MAPE_min,baseline_MAPE_max,baseline_MAE_mean,baseline_MAE_std,baseline_MAE_min,baseline_MAE_max,baseline_RMSE_mean,baseline_RMSE_std,baseline_RMSE_min,baseline_RMSE_max,rf_MAPE_mean,rf_MAPE_std,rf_MAPE_min,rf_MAPE_max,rf_MAE_mean,rf_MAE_std,rf_MAE_min,rf_MAE_max,rf_RMSE_mean,rf_RMSE_std,rf_RMSE_min,rf_RMSE_max,MAPE_improvement_pct,rf_better_MAPE,MAE_improvement_pct,rf_better_MAE,RMSE_improvement_pct,rf_better_RMSE
batlik,corona,12.178982497034552,0.4493502069392238,11.24719251749125,13.248621070635982,0.1805357184196078,0.0053143413534315,0.1661721743269996,0.1916667143028742,0.2592359924858504,0.0068433808049168,0.2439357202054464,0.2711211009705379,3.3459244853619867,0.0867264811422449,3.1511442299041987,3.518524318903298,0.0483891956018519,0.0013630437420337,0.0451302951388889,0.0505232638888889,0.0641866873773472,0.0017340981070172,0.0607529633550794,0.0676852492059344,72.52706056374838,True,73.19688534465854,True,75.2400556875409,True
batlik,cranium,3.3081201014310064,0.1009933012430151,3.10066873132383,3.525018570489332,0.0691976098123554,0.0022075078603749,0.0645361491961283,0.0738429993534079,0.0964686978475766,0.0028301929436225,0.0915545696485169,0.1028368400716878,2.009732017773083,0.0436812119409729,1.9111625622939152,2.0880532266458807,0.0404257204861111,0.0010470639028483,0.0380100694444445,0.0426665798611111,0.052638200433963,0.0016492502029419,0.0492909551494857,0.0562079199468987,39.248517098767806,True,41.57931091011038,True,45.434942516656626,True
batlik,cubus,3.951063603532954,0.0931413949021445,3.744264296403596,4.083871885371723,0.2436609729165875,0.0059049927645186,0.2292250890860664,0.2542608138795001,0.3350352667125515,0.0082061069247314,0.3122914513839624,0.3531611049509804,1.875090005895416,0.0533417425109938,1.7717908510607097,1.99484892781564,0.1162819907407407,0.00351603277841,0.1095186631944448,0.1229285590277778,0.1492154512349228,0.0045605761995721,0.1386667510360071,0.1568038795043175,52.542145759973295,True,52.277137635600134,True,55.46276286103803,True
batlik,flame,3.217826126592749,0.078875546507153,3.056780762287829,3.378889622977986,0.0579286884698047,0.0014168448291975,0.055220754133716,0.0613439706528903,0.0769824356201208,0.0017883963968931,0.0733370939559395,0.081676398349724,1.995741384526457,0.0589666615755384,1.8523122860241084,2.144429330792412,0.0360431828703704,0.001081032693141,0.0335574652777777,0.0386803819444446,0.0464237019035893,0.0013975993304336,0.0436400771363352,0.0491513679411481,37.9785822473981,True,37.78008129916856,True,39.69572210903705,True
batlik,france,3.9478214177549993,0.1001883575577231,3.744510460270794,4.103426863495645,0.1459459893011066,0.0034459119579232,0.1383052623245507,0.1519248840920035,0.1930246225180988,0.0045241869224879,0.1836685968515862,0.2037384860092898,2.2554864553820058,0.0451540780536854,2.191756726604123,2.367409488646528,0.0794431076388889,0.0017777591339829,0.0768099826388887,0.083131857638889,0.101889508061726,0.0025342271363806,0.0977859219525901,0.1068962323167046,42.8675662673559,True,45.56677575086571,True,47.21424306778664,True
batlik,frisco,5.0882608688097895,0.1699893693687568,4.781257365416414,5.453226182957334,0.2466526742357684,0.0072738670507605,0.2321394957885315,0.2601905070854516,0.3313207991751081,0.0098270983173291,0.3134348555062123,0.3493498267042184,3.2119933135170298,0.0777043148790981,3.0128824975804283,3.3603094803392284,0.148054722222222,0.0034520337618802,0.1387828993055554,0.1541353298611112,0.1875657091684885,0.0042498720500428,0.1766277205867965,0.1956710080460493,36.87443713418811,True,39.974410299439675,True,43.38848945328145,True
batlik,jelly,16.96174826754286,0.563930333807019,15.636188456579008,18.55312348570462,0.3221846261418691,0.0076284126765942,0.3098548347480007,0.3432938152141755,0.4396499618888885,0.016240049241477,0.4116381108283083,0.4743667063522871,2.3068971339802284,0.0840417293966227,2.155331312433914,2.497024555697676,0.0432919965277779,0.0022603034789337,0.0381118055555555,0.0481268229166666,0.0707163647950673,0.0077786507816836,0.0519170976272911,0.0852632845170295,86.39941415476264,True,86.56298500453126,True,83.91530287157418,True
batlik,karte,15.059511697191429,0.3651117093182935,14.367648282579026,15.941158989842508,1.493433486101677,0.0267791002603929,1.4407180638098191,1.5585562593663436,1.8805824815032712,0.048447399305756,1.7603780169293115,1.9577332141321724,1.914092595948279,0.038552552011692,1.827109757965324,1.977622327115292,0.2402261342592588,0.0065524714045203,0.224777256944444,0.2514809027777785,0.3225179040911964,0.0097947646937515,0.2974315737426462,0.3402745121385264,87.28980969346267,True,83.91450730850268,True,82.85010589732885,True
batlik,mandelbrot,4.606839715490535,0.1314709804518861,4.3790270289663775,4.906082057738819,0.0609697188564196,0.0016632941318761,0.057989339788419,0.0646317540467649,0.0837584326934179,0.0023033891660334,0.0799642225841398,0.0888348809427064,2.113349918070235,0.0551787763780883,1.98302128412976,2.2014338718345066,0.0273564091435185,0.0007846905234762,0.0256409722222222,0.028604861111111,0.035669952988682,0.0009361054093589,0.0335065654843279,0.0368242869264142,54.12582054973437,True,55.13115419157275,True,57.41329936384412,True
batlik,strawberry,5.4699883589038905,0.1988394237868966,5.151282217935382,5.897339137298168,0.0940286560051697,0.0030411747143152,0.0888439316616609,0.0988952700747131,0.1306665804794277,0.0038132661988309,0.1227186678337468,0.1368082279604937,2.3706009135266246,0.0583803413792605,2.25382577557038,2.501034123023333,0.0380331336805555,0.0010147828465244,0.0359096354166668,0.0400388020833332,0.0481946853696347,0.0012426276407128,0.0448989989699877,0.0505446294044374,56.66168265846804,True,59.55155024393368,True,63.11628788875934,True
