system,workload,n_paired_runs,MAPE_wilcoxon_stat,MAPE_p_value,MAPE_significant_0_05,MAPE_baseline_mean,MAPE_rf_mean,MAPE_improvement_pct,MAE_wilcoxon_stat,MAE_p_value,MAE_significant_0_05,MAE_baseline_mean,MAE_rf_mean,MAE_improvement_pct,RMSE_wilcoxon_stat,RMSE_p_value,RMSE_significant_0_05,RMSE_baseline_mean,RMSE_rf_mean,RMSE_improvement_pct
batlik,corona,30,0.0,1.862645149230957e-09,True,12.178982497034555,3.3459244853619863,72.5270605637484,0.0,1.862645149230957e-09,True,0.18053571841960786,0.048389195601851884,73.19688534465854,0.0,1.862645149230957e-09,True,0.25923599248585044,0.06418668737734715,75.24005568754093
batlik,cranium,30,0.0,1.862645149230957e-09,True,3.308120101431006,2.009732017773083,39.24851709876779,0.0,1.862645149230957e-09,True,0.06919760981235536,0.04042572048611112,41.57931091011031,0.0,1.862645149230957e-09,True,0.09646869784757658,0.05263820043396298,45.43494251665664
batlik,cubus,30,0.0,1.862645149230957e-09,True,3.9510636035329543,1.8750900058954159,52.5421457599733,0.0,1.862645149230957e-09,True,0.2436609729165875,0.11628199074074073,52.27713763560011,0.0,1.862645149230957e-09,True,0.3350352667125515,0.14921545123492283,55.462762861038016
batlik,flame,30,0.0,1.862645149230957e-09,True,3.2178261265927492,1.9957413845264576,37.978582247398094,0.0,1.862645149230957e-09,True,0.057928688469804694,0.036043182870370435,37.780081299168494,0.0,1.862645149230957e-09,True,0.07698243562012079,0.046423701903589326,39.695722109037
batlik,france,30,0.0,1.862645149230957e-09,True,3.9478214177549993,2.2554864553820058,42.8675662673559,0.0,1.862645149230957e-09,True,0.14594598930110658,0.07944310763888889,45.56677575086571,0.0,1.862645149230957e-09,True,0.1930246225180988,0.101889508061726,47.21424306778664
batlik,frisco,30,0.0,1.862645149230957e-09,True,5.0882608688097895,3.2119933135170293,36.87443713418812,0.0,1.862645149230957e-09,True,0.24665267423576837,0.148054722222222,39.974410299439675,0.0,1.862645149230957e-09,True,0.3313207991751081,0.18756570916848853,43.388489453281444
batlik,jelly,30,0.0,1.862645149230957e-09,True,16.961748267542863,2.3068971339802284,86.39941415476264,0.0,1.862645149230957e-09,True,0.32218462614186916,0.043291996527777835,86.56298500453127,0.0,1.862645149230957e-09,True,0.4396499618888886,0.07071636479506734,83.91530287157417
batlik,karte,30,0.0,1.862645149230957e-09,True,15.059511697191425,1.914092595948279,87.28980969346267,0.0,1.862645149230957e-09,True,1.4934334861016771,0.24022613425925882,83.91450730850268,0.0,1.862645149230957e-09,True,1.880582481503271,0.3225179040911964,82.85010589732885
batlik,mandelbrot,30,0.0,1.862645149230957e-09,True,4.606839715490537,2.1133499180702344,54.12582054973439,0.0,1.862645149230957e-09,True,0.06096971885641964,0.027356409143518463,55.13115419157284,0.0,1.862645149230957e-09,True,0.08375843269341783,0.03566995298868202,57.41329936384405
batlik,strawberry,30,0.0,1.862645149230957e-09,True,5.469988358903891,2.3706009135266246,56.66168265846804,0.0,1.862645149230957e-09,True,0.09402865600516974,0.038033133680555484,59.55155024393372,0.0,1.862645149230957e-09,True,0.13066658047942775,0.048194685369634685,63.11628788875937
batlik,village,30,0.0,1.862645149230957e-09,True,56.94968631006318,2.2059257846781404,96.12653567103433,0.0,1.862645149230957e-09,True,1.7914449909568835,0.10002409432870381,94.41656903596706,0.0,1.862645149230957e-09,True,2.454547316774282,0.2934638664856383,88.04407376952493
dconvert,jpeg-large,30,0.0,1.862645149230957e-09,True,13.57394488682623,2.783011305567413,79.49740234860995,0.0,1.862645149230957e-09,True,0.4186740566924771,0.09205622990732326,78.01243510654398,0.0,1.862645149230957e-09,True,0.5638740750680945,0.13132501233348629,76.71022340978752
dconvert,jpeg-medium,30,0.0,1.862645149230957e-09,True,10.287872150420746,2.266029496029574,77.97377861138273,0.0,1.862645149230957e-09,True,0.17839829769481066,0.0394450335834193,77.88934418483147,0.0,1.862645149230957e-09,True,0.2406484687453702,0.05326189751410382,77.86734410080118
dconvert,jpeg-small,30,4.0,1.30385160446167e-08,True,3.489690047118615,3.3884713520274805,2.9005067419872845,2.0,5.587935447692871e-09,True,0.01496680921358207,0.014536964974512992,2.871983152421043,35.0,7.994472980499268e-06,True,0.01908250457280849,0.018823694881349936,1.3562668908112923
dconvert,png-large,30,0.0,1.862645149230957e-09,True,9.29312089419803,2.5146728360136184,72.94049152439625,0.0,1.862645149230957e-09,True,0.2192655255945247,0.06088453131008837,72.23251072187304,0.0,1.862645149230957e-09,True,0.27983560944720515,0.08058236200319373,71.20367841591772
dconvert,png-medium,30,0.0,1.862645149230957e-09,True,3.563223050576187,2.7377846247334663,23.165499721081005,0.0,1.862645149230957e-09,True,0.023152152862989293,0.01737451856329402,24.95506285694631,0.0,1.862645149230957e-09,True,0.029233124677471335,0.022042234191755945,24.59843265149513
dconvert,png-small,30,0.0,1.862645149230957e-09,True,3.303544002208866,3.515873468925786,-6.427323703723904,0.0,1.862645149230957e-09,True,0.014848818486540037,0.015746398206262693,-6.044788819637615,0.0,1.862645149230957e-09,True,0.01963057072069076,0.020765048754321724,-5.779139332078695
dconvert,psd-large,30,0.0,1.862645149230957e-09,True,1.4381112134142302,1.5651207298287457,-8.831689456963577,0.0,1.862645149230957e-09,True,0.5382117401458874,0.5869910060757898,-9.06321105457127,0.0,1.862645149230957e-09,True,0.8802723429634101,1.0001953905196654,-13.623402861043902
dconvert,psd-medium,30,0.0,1.862645149230957e-09,True,5.207159450683232,2.5286474445529112,51.439024126270475,0.0,1.862645149230957e-09,True,0.06761001062605548,0.0325385713087439,51.87314569626141,0.0,1.862645149230957e-09,True,0.08953245312372653,0.04167893903434598,53.44823292538506
dconvert,psd-small,30,0.0,1.862645149230957e-09,True,3.571612159086269,3.7832241034451126,-5.924829878868499,0.0,1.862645149230957e-09,True,0.020004791849937146,0.02114047524511834,-5.677056795693495,0.0,1.862645149230957e-09,True,0.024908725973668354,0.026784924383821598,-7.532293751742344
dconvert,svg-large,30,0.0,1.862645149230957e-09,True,2.040748600069891,2.3325528713560737,-14.298883815291564,0.0,1.862645149230957e-09,True,0.03075686083763914,0.0351129130311864,-14.162863422708224,0.0,1.862645149230957e-09,True,0.039269713085148636,0.04495363568884097,-14.474061960595094
dconvert,svg-medium,30,0.0,1.862645149230957e-09,True,1.725830232475965,1.9301875992333946,-11.841104815057507,0.0,1.862645149230957e-09,True,0.02656311812611636,0.029697937513800565,-11.801398362950879,0.0,1.862645149230957e-09,True,0.03320642611164512,0.03730193948009683,-12.333496398203051
dconvert,svg-small,30,0.0,1.862645149230957e-09,True,3.5997114636451815,2.5702984940303066,28.597096739872,0.0,1.862645149230957e-09,True,0.020296156659482974,0.014387255278914303,29.11340053047854,0.0,1.862645149230957e-09,True,0.025442178412787737,0.018209756853977008,28.42689584778469
h2,smallbank-1,30,0.0,1.862645149230957e-09,True,5.669164348560636,3.785686150697146,33.223206844262556,0.0,1.862645149230957e-09,True,1111.5365371117261,723.6845426569921,34.89331942812682,0.0,1.862645149230957e-09,True,1339.4669559228203,939.7387152452262,29.84233682735405
h2,smallbank-10,30,0.0,1.862645149230957e-09,True,4.587333423554353,2.1623071662865674,52.86352731231882,0.0,1.862645149230957e-09,True,623.3521558038441,289.74028326058476,53.51900517822866,0.0,1.862645149230957e-09,True,753.9211653762666,395.1818466788905,47.58313404271342
h2,tpcc-2,30,0.0,1.862645149230957e-09,True,4.16992953103214,2.821173464703662,32.34481677187082,0.0,1.862645149230957e-09,True,30.432807996828856,20.592573430671937,32.3342971413689,0.0,1.862645149230957e-09,True,37.579401770052336,25.801507534371996,31.34135638387502
h2,tpcc-8,30,212.0,0.685047073289752,False,20.41634201896295,20.376970578413854,0.19284277522647358,83.0,0.0014574769884347916,True,107.2347126501795,108.35956158050035,-1.0489597095208598,0.0,1.862645149230957e-09,True,162.69932637674322,174.63135625347957,-7.333791812454582
h2,voter-16,30,0.0,1.862645149230957e-09,True,7.562883481240577,1.74048025262749,76.98655206119888,0.0,1.862645149230957e-09,True,2384.835683770437,562.9701792772208,76.39375395510847,0.0,1.862645149230957e-09,True,2646.9512739874813,758.5863166581684,71.34113029910817
h2,voter-2,30,0.0,1.862645149230957e-09,True,7.920813270813962,1.6921744338898062,78.63635492929738,0.0,1.862645149230957e-09,True,2486.8636511177206,541.8369383867781,78.2120367498536,0.0,1.862645149230957e-09,True,2754.88537142526,760.3262211642489,72.40080371217448
h2,ycsb-2400,30,0.0,1.862645149230957e-09,True,9.039111385756192,4.0361715607209,55.34769527145015,0.0,1.862645149230957e-09,True,1270.2980245879128,565.0691381536542,55.516805724627986,0.0,1.862645149230957e-09,True,1562.877125777955,716.8616495699978,54.13192516889869
h2,ycsb-600,30,0.0,1.862645149230957e-09,True,8.394284619217284,3.5122417711474463,58.15912933060709,0.0,1.862645149230957e-09,True,1680.2592656361787,720.3641734691766,57.127796394181296,0.0,1.862645149230957e-09,True,2072.7635146178277,954.9108959391916,53.93054300672326
jump3r,beethoven.wav,30,0.0,1.862645149230957e-09,True,25.760934477879395,16.041284906259683,37.73019018376782,0.0,1.862645149230957e-09,True,2.248147700289629,1.6215914386896002,27.869888687442973,0.0,1.862645149230957e-09,True,2.8971040379471096,2.3985265265970948,17.20951352866524
jump3r,dual-channel.wav,30,0.0,1.862645149230957e-09,True,23.390115438631714,15.514874149644243,33.66909970859109,0.0,1.862645149230957e-09,True,0.6151194862027283,0.45284030808940307,26.381732615090975,0.0,1.862645149230957e-09,True,0.8525546668668443,0.6649776237521454,22.001761342067173
jump3r,helix.wav,30,0.0,1.862645149230957e-09,True,25.36784462041861,16.01042735232354,36.886922827346844,0.0,1.862645149230957e-09,True,1.0999942915187444,0.8354920338742461,24.045784572145763,0.0,1.862645149230957e-09,True,1.5712602540313003,1.3022540253487693,17.12041197455073
