system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
batlik,corona,corona.csv,datasets\batlik\corona.csv,1919,11,time,3.3459244853619867,0.08672648114224493,3.1511442299041987,3.5185243189032986,0.048389195601851905,0.0013630437420337873,0.04513029513888892,0.050523263888888975,0.0641866873773472,0.0017340981070172285,0.060752963355079403,0.06768524920593447
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,1919,11,time,2.009732017773083,0.04368121194097299,1.9111625622939152,2.0880532266458807,0.04042572048611117,0.0010470639028483655,0.03801006944444458,0.04266657986111114,0.05263820043396302,0.0016492502029419479,0.04929095514948578,0.056207919946898714
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,1919,11,time,1.8750900058954159,0.05334174251099385,1.7717908510607097,1.99484892781564,0.11628199074074076,0.0035160327784100236,0.10951866319444485,0.12292855902777787,0.14921545123492289,0.004560576199572109,0.13866675103600715,0.1568038795043175
batlik,flame,flame.csv,datasets\batlik\flame.csv,1919,11,time,1.995741384526457,0.058966661575538426,1.8523122860241084,2.144429330792412,0.03604318287037049,0.0010810326931410326,0.03355746527777776,0.03868038194444468,0.04642370190358939,0.0013975993304336154,0.04364007713633525,0.04915136794114814
batlik,france,france.csv,datasets\batlik\france.csv,1919,11,time,2.2554864553820058,0.045154078053685424,2.191756726604123,2.3674094886465276,0.07944310763888891,0.0017777591339829374,0.07680998263888879,0.08313185763888908,0.10188950806172606,0.002534227136380647,0.09778592195259012,0.10689623231670468
batlik,frisco,frisco.csv,datasets\batlik\frisco.csv,1919,11,time,3.2119933135170298,0.07770431487909818,3.0128824975804283,3.3603094803392284,0.14805472222222202,0.003452033761880289,0.1387828993055554,0.1541353298611112,0.18756570916848858,0.004249872050042809,0.17662772058679657,0.1956710080460493
batlik,jelly,jelly.csv,datasets\batlik\jelly.csv,1919,11,time,2.3068971339802284,0.08404172939662272,2.155331312433914,2.497024555697676,0.043291996527777904,0.002260303478933788,0.038111805555555586,0.04812682291666666,0.07071636479506739,0.007778650781683697,0.05191709762729113,0.08526328451702955
batlik,karte,karte.csv,datasets\batlik\karte.csv,1919,11,time,1.914092595948279,0.038552552011692096,1.8271097579653242,1.9776223271152922,0.24022613425925884,0.006552471404520336,0.22477725694444406,0.2514809027777785,0.32251790409119646,0.009794764693751574,0.2974315737426462,0.3402745121385264
batlik,mandelbrot,mandelbrot.csv,datasets\batlik\mandelbrot.csv,1919,11,time,2.113349918070235,0.05517877637808834,1.9830212841297596,2.2014338718345066,0.027356409143518508,0.0007846905234762428,0.025640972222222218,0.028604861111111005,0.03566995298868205,0.000936105409358906,0.033506565484327996,0.0368242869264142
batlik,strawberry,strawberry.csv,datasets\batlik\strawberry.csv,1919,11,time,2.3706009135266246,0.05838034137926058,2.25382577557038,2.5010341230233335,0.038033133680555525,0.0010147828465244518,0.035909635416666814,0.040038802083333255,0.04819468536963475,0.0012426276407128448,0.04489899896998771,0.050544629404437436
batlik,village,village.csv,datasets\batlik\village.csv,1919,11,time,2.2059257846781395,0.06652794150977853,2.091467846427795,2.3958946685307283,0.10002409432870384,0.0067448153907294205,0.08539210069444494,0.11671206597222265,0.29346386648563844,0.048932213073997755,0.19427240172512567,0.3699759044389938
dconvert,jpeg-large,jpeg-large.csv,datasets\dconvert\jpeg-large.csv,6764,18,time,2.7830113055674124,0.04572927208783719,2.701000242363074,2.863605752278034,0.09205622990732332,0.0016513530260766028,0.08965984132991357,0.09586136326339094,0.1313250123334863,0.002792060358938505,0.1261197926463673,0.13977506075178187
dconvert,jpeg-medium,jpeg-medium.csv,datasets\dconvert\jpeg-medium.csv,6764,18,time,2.266029496029574,0.03449905262210073,2.212651231758769,2.3609912986354664,0.03944503358341935,0.0006774422547476878,0.038363031869741306,0.040951176134928956,0.05326189751410385,0.0009963395482486678,0.051504353411588606,0.05599044432871862
