system,workload,file_name,file_path,repeat,n_samples,n_features,target_name,MAPE,MAE,RMSE
batlik,corona,corona.csv,datasets\batlik\corona.csv,1,1919,11,time,3.4024081943946607,0.049644357638888865,0.06720014800201765
batlik,corona,corona.csv,datasets\batlik\corona.csv,2,1919,11,time,3.4338405652151764,0.05030295138888895,0.06483770718161973
batlik,corona,corona.csv,datasets\batlik\corona.csv,3,1919,11,time,3.3061741279045203,0.04903125000000008,0.06606982903737374
batlik,corona,corona.csv,datasets\batlik\corona.csv,4,1919,11,time,3.1511442299041987,0.04513029513888892,0.060752963355079403
batlik,corona,corona.csv,datasets\batlik\corona.csv,5,1919,11,time,3.498509942440368,0.050523263888888975,0.06526829072609122
batlik,corona,corona.csv,datasets\batlik\corona.csv,6,1919,11,time,3.371510666677758,0.04813723958333324,0.064855335979661
batlik,corona,corona.csv,datasets\batlik\corona.csv,7,1919,11,time,3.4441975143473433,0.04916796875000032,0.06456904018584195
batlik,corona,corona.csv,datasets\batlik\corona.csv,8,1919,11,time,3.215305804602036,0.04650104166666685,0.06266570429502641
batlik,corona,corona.csv,datasets\batlik\corona.csv,9,1919,11,time,3.349926292864014,0.049264062499999976,0.06768524920593447
batlik,corona,corona.csv,datasets\batlik\corona.csv,10,1919,11,time,3.319165225337542,0.046940364583333324,0.06169309283860757
batlik,corona,corona.csv,datasets\batlik\corona.csv,11,1919,11,time,3.450122142124682,0.049426475694444444,0.06572004502871547
batlik,corona,corona.csv,datasets\batlik\corona.csv,12,1919,11,time,3.2856311520091364,0.04728307291666667,0.06311599815490744
batlik,corona,corona.csv,datasets\batlik\corona.csv,13,1919,11,time,3.3596954622890376,0.049254253472222335,0.06476351421469893
batlik,corona,corona.csv,datasets\batlik\corona.csv,14,1919,11,time,3.4019829665035806,0.04983819444444441,0.06628854617629404
batlik,corona,corona.csv,datasets\batlik\corona.csv,15,1919,11,time,3.3755294339051076,0.04896605902777784,0.06534631344937236
batlik,corona,corona.csv,datasets\batlik\corona.csv,16,1919,11,time,3.352601187256063,0.049216319444444614,0.06434311717216214
batlik,corona,corona.csv,datasets\batlik\corona.csv,17,1919,11,time,3.333253568172899,0.048002777777777776,0.06350854608119466
batlik,corona,corona.csv,datasets\batlik\corona.csv,18,1919,11,time,3.2624163537189457,0.047402343750000055,0.06302259374263046
batlik,corona,corona.csv,datasets\batlik\corona.csv,19,1919,11,time,3.411176468166145,0.04918298611111121,0.06558160423652452
batlik,corona,corona.csv,datasets\batlik\corona.csv,20,1919,11,time,3.434936949374502,0.04954930555555554,0.06478141444879171
batlik,corona,corona.csv,datasets\batlik\corona.csv,21,1919,11,time,3.416034119201431,0.048575086805555626,0.06359297098894973
batlik,corona,corona.csv,datasets\batlik\corona.csv,22,1919,11,time,3.259725910275397,0.04725390625000021,0.062345435788959735
batlik,corona,corona.csv,datasets\batlik\corona.csv,23,1919,11,time,3.3587274715708317,0.04912664930555565,0.06603173186972525
batlik,corona,corona.csv,datasets\batlik\corona.csv,24,1919,11,time,3.2830638671152954,0.0463580729166667,0.06131125547355125
batlik,corona,corona.csv,datasets\batlik\corona.csv,25,1919,11,time,3.3251533062432883,0.047888715277777924,0.06383177176614793
batlik,corona,corona.csv,datasets\batlik\corona.csv,26,1919,11,time,3.262821155567708,0.046922829861111154,0.06269978115132159
batlik,corona,corona.csv,datasets\batlik\corona.csv,27,1919,11,time,3.32045044912223,0.04774618055555562,0.06371942887628118
batlik,corona,corona.csv,datasets\batlik\corona.csv,28,1919,11,time,3.5185243189032986,0.0504671006944446,0.06525774136575485
batlik,corona,corona.csv,datasets\batlik\corona.csv,29,1919,11,time,3.2267591030055685,0.046533420138889024,0.06193181892462485
batlik,corona,corona.csv,datasets\batlik\corona.csv,30,1919,11,time,3.2469466126468274,0.04803932291666672,0.06280963160255461
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,1,1919,11,time,1.9909361792599252,0.04011362847222239,0.05277662765102834
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,2,1919,11,time,2.0537126158121035,0.04069531249999999,0.05215337623565514
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,3,1919,11,time,2.0322797733942553,0.04105338541666678,0.053174566133697254
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,4,1919,11,time,1.9351431744327747,0.03857786458333336,0.04929095514948578
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,5,1919,11,time,2.082914090766018,0.04189019097222217,0.05372527196850916
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,6,1919,11,time,2.0794837607893566,0.04266657986111114,0.05614247728838131
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,7,1919,11,time,2.00535611056523,0.040232204861111266,0.05157065369033653
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,8,1919,11,time,2.0310902376125974,0.04184071180555587,0.056207919946898714
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,9,1919,11,time,1.9602475587594446,0.039627951388888555,0.051680802669688525
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,10,1919,11,time,2.031542906260314,0.04035876736111133,0.052073792167741995
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,11,1919,11,time,1.972450971260305,0.03982256944444461,0.05370084541802974
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,12,1919,11,time,1.9511040364433068,0.03873177083333332,0.04929890232888904
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,13,1919,11,time,2.037699959532291,0.041165104166666716,0.05391393902489932
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,14,1919,11,time,2.009036021892903,0.0407275173611111,0.05367831148734057
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,15,1919,11,time,1.9111625622939152,0.03801006944444458,0.04954574310394624
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,16,1919,11,time,2.0391853994930083,0.04146753472222236,0.05304617149958982
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,17,1919,11,time,1.9950183539610125,0.03941041666666654,0.05158882863162654
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,18,1919,11,time,2.0880532266458807,0.04193437499999999,0.054524431641543296
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,19,1919,11,time,1.9815608885159406,0.04046197916666686,0.05296259129224048
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,20,1919,11,time,2.056008119813636,0.0412354166666668,0.053639723357554854
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,21,1919,11,time,2.0017251059116843,0.0398081597222221,0.052127357310804985
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,22,1919,11,time,2.0204917627539674,0.041020572916666706,0.0523502202468705
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,23,1919,11,time,2.017324002061174,0.041077690972222296,0.053470230595124915
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,24,1919,11,time,1.9884863732720477,0.040429427083333275,0.052966925812573944
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,25,1919,11,time,2.0469075667136782,0.04025017361111121,0.05270231627381294
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,26,1919,11,time,1.9846962035385336,0.03969817708333358,0.05090245927500032
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,27,1919,11,time,2.034138011384275,0.040354513888888985,0.051628571977582895
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,28,1919,11,time,2.0251954221872266,0.04046527777777795,0.051838546930992414
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,29,1919,11,time,1.9757028732290385,0.04043750000000009,0.054110475742405593
batlik,cranium,cranium.csv,datasets\batlik\cranium.csv,30,1919,11,time,1.9533072646366494,0.039206770833333224,0.05235297816663968
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,1,1919,11,time,1.8350189028103865,0.11414409722222257,0.15065270950171603
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,2,1919,11,time,1.8664699697130132,0.1158738715277779,0.1476874049142735
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,3,1919,11,time,1.9363076844194853,0.12067656249999964,0.15335660633502962
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,4,1919,11,time,1.7717908510607097,0.11009427083333323,0.14092301643982755
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,5,1919,11,time,1.9547783813123716,0.12117986111111116,0.15439323978503566
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,6,1919,11,time,1.8810981777815083,0.11589496527777775,0.1489031371220624
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,7,1919,11,time,1.8103260514262798,0.11163298611111142,0.1432481728904717
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,8,1919,11,time,1.879773136561387,0.11737300347222195,0.15198239682710754
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,9,1919,11,time,1.889299128883502,0.11796067708333331,0.1514373526131947
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,10,1919,11,time,1.9083696888930468,0.11896475694444482,0.15255577475049004
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,11,1919,11,time,1.934207116826744,0.12054618055555578,0.15584985975201368
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,12,1919,11,time,1.8440410024046863,0.1151778645833338,0.1484680127557182
batlik,cubus,cubus.csv,datasets\batlik\cubus.csv,13,1919,11,time,1.881991188124682,0.11711736111111076,0.1507347627387811
